model,iteracio,esport,politica,humor,tecnologia,ciencia,cultura,salut,economia,viatges,moda
Engagement,0,0.663703475398224,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,1,0.743703475398224,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,2,0.823703475398224,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,3,0.9037034753982239,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,4,0.9837034753982239,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,5,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,6,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,7,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,8,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,9,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,10,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,11,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,12,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,13,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,14,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,15,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,16,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,17,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,18,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,19,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,20,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,21,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,22,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,23,0.97,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,24,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,25,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,26,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,27,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,28,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,29,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,30,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,31,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,32,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,33,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,34,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,35,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,36,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,37,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
Engagement,38,1.0,0.5969085571333561,0.4082505611764669,0.5462820616116815,0.4670223792930585,0.5545954078695867,0.5289031268884268,0.576925683443756,0.2794598159881144,0.49528780817912527
